ds;country;polygon_source;polygon_id;polygon_name;all_day_bing_tiles_visited_relative_change;all_day_ratio_single_tile_users;baseline_name;baseline_type
01/03/2020;FRA;GADM;FRA.10_1;Nouvelle-Aquitaine;-0.11484;0.28124;full_february;DAY_OF_WEEK
02/03/2020;FRA;GADM;FRA.10_1;Nouvelle-Aquitaine;-0.06174;0.18379;full_february;DAY_OF_WEEK
03/03/2020;FRA;GADM;FRA.10_1;Nouvelle-Aquitaine;-0.04656;0.1778;full_february;DAY_OF_WEEK
04/03/2020;FRA;GADM;FRA.10_1;Nouvelle-Aquitaine;-0.05831;0.17214;full_february;DAY_OF_WEEK
05/03/2020;FRA;GADM;FRA.10_1;Nouvelle-Aquitaine;-0.06354;0.17419;full_february;DAY_OF_WEEK
06/03/2020;FRA;GADM;FRA.10_1;Nouvelle-Aquitaine;-0.07636;0.1582;full_february;DAY_OF_WEEK
07/03/2020;FRA;GADM;FRA.10_1;Nouvelle-Aquitaine;-0.04155;0.17635;full_february;DAY_OF_WEEK
08/03/2020;FRA;GADM;FRA.10_1;Nouvelle-Aquitaine;-0.1282;0.28258;full_february;DAY_OF_WEEK
09/03/2020;FRA;GADM;FRA.10_1;Nouvelle-Aquitaine;0.01792;0.14146;full_february;DAY_OF_WEEK
10/03/2020;FRA;GADM;FRA.10_1;Nouvelle-Aquitaine;0.04259;0.1351;full_february;DAY_OF_WEEK
11/03/2020;FRA;GADM;FRA.10_1;Nouvelle-Aquitaine;0.01578;0.14153;full_february;DAY_OF_WEEK
12/03/2020;FRA;GADM;FRA.10_1;Nouvelle-Aquitaine;0.01654;0.13239;full_february;DAY_OF_WEEK
13/03/2020;FRA;GADM;FRA.10_1;Nouvelle-Aquitaine;-0.0049;0.12243;full_february;DAY_OF_WEEK
14/03/2020;FRA;GADM;FRA.10_1;Nouvelle-Aquitaine;-0.12553;0.20301;full_february;DAY_OF_WEEK
15/03/2020;FRA;GADM;FRA.10_1;Nouvelle-Aquitaine;-0.1519;0.26453;full_february;DAY_OF_WEEK
16/03/2020;FRA;GADM;FRA.10_1;Nouvelle-Aquitaine;-0.17479;0.2283;full_february;DAY_OF_WEEK
17/03/2020;FRA;GADM;FRA.10_1;Nouvelle-Aquitaine;-0.35502;0.33529;full_february;DAY_OF_WEEK
18/03/2020;FRA;GADM;FRA.10_1;Nouvelle-Aquitaine;-0.56339;0.47149;full_february;DAY_OF_WEEK
